,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
0,1,4,0,2,1,2,0,1,44,6
1,1,4,0,2,1,0,1,0,23,6
2,1,4,0,2,1,2,0,0,12,6
3,1,0,0,2,1,2,0,1,15,6
4,2,4,0,4,1,0,0,0,34,6
5,2,4,0,4,1,0,0,1,25,6
6,2,0,0,2,1,0,0,1,57,6
7,1,4,0,2,1,1,0,1,17,6
8,2,4,4,2,1,1,0,0,23,6
9,1,0,4,0,1,1,0,1,20,6
10,1,0,4,0,1,1,0,1,23,6
11,2,4,0,2,1,0,0,0,18,6
12,2,4,0,2,1,1,0,0,47,6
13,2,4,0,2,1,1,0,1,11,6
14,2,4,0,2,1,1,0,0,15,6
15,2,4,0,2,1,1,0,0,42,6
16,2,1,0,2,1,0,0,1,83,6
17,2,1,0,2,1,1,0,0,65,6
18,1,0,4,2,1,0,0,0,24,6
19,2,4,0,4,1,0,0,1,28,6
20,2,4,0,4,1,0,0,1,29,6
21,2,4,0,4,1,1,0,1,26,6
22,1,0,4,2,1,0,0,1,42,6
23,1,0,4,2,1,2,1,1,18,6
24,3,0,0,4,1,0,0,1,34,6
25,3,0,0,4,1,0,0,0,38,6
26,1,4,0,4,1,1,0,1,40,1
27,1,0,0,2,1,0,0,1,23,6
28,1,4,0,2,1,2,0,0,4,6
29,2,2,0,2,1,0,0,1,78,6
30,2,2,0,2,1,0,0,1,51,6
31,1,3,0,2,1,2,0,1,52,6
32,1,0,0,4,1,1,0,1,66,1
33,2,4,0,4,1,0,0,1,30,6
34,2,4,0,4,1,0,0,1,66,6
35,1,4,0,4,1,2,0,1,88,6
36,3,4,4,2,1,0,0,1,40,6
37,3,4,0,4,1,0,0,1,49,3
38,1,4,0,4,1,2,0,1,11,6
39,1,0,0,0,1,0,1,1,22,6
40,2,0,4,4,1,0,0,1,17,5
41,2,4,0,1,1,0,0,1,40,6
42,2,3,4,2,1,0,0,1,24,6
43,2,3,4,2,1,0,0,1,27,4
44,2,0,4,4,1,0,0,1,41,5
45,2,4,4,4,1,0,1,1,23,6
46,2,4,4,4,1,0,0,0,54,6
47,1,4,0,4,1,1,0,0,71,1
48,2,3,0,4,1,0,0,1,47,6
49,2,3,0,4,1,1,0,1,22,6
50,2,4,4,4,1,1,0,1,11,6
51,2,4,4,2,1,0,0,1,20,3
52,1,4,0,2,1,2,0,1,7,6
53,2,0,0,4,1,0,0,1,31,5
54,2,2,2,2,3,0,0,1,21,6
55,2,4,0,4,1,0,0,1,21,3
56,1,4,0,0,1,0,0,1,38,2
57,3,3,4,4,1,0,0,0,27,6
58,2,1,4,4,1,0,0,1,49,3
59,2,0,4,4,1,0,0,1,39,1
60,2,0,4,4,1,1,0,1,79,1
61,1,0,2,2,1,0,0,0,17,3
62,3,0,0,4,1,0,0,0,23,6
63,3,0,0,4,1,0,0,0,25,6
64,3,0,0,4,1,0,0,1,54,6
65,2,0,0,4,1,1,0,0,48,6
66,1,1,4,2,1,0,0,1,20,6
67,1,0,4,2,1,0,1,1,46,6
68,1,0,4,2,1,1,1,0,44,6
69,2,0,0,4,1,0,0,0,24,6
70,2,0,0,4,1,1,0,0,13,6
71,2,4,4,0,1,0,0,1,20,6
72,2,4,4,0,1,1,0,1,18,6
73,1,4,0,2,1,2,1,0,20,6
74,1,4,4,0,1,0,0,1,20,6
75,1,2,0,2,1,2,0,1,7,6
76,2,4,0,2,1,0,0,1,23,3
77,2,4,4,4,1,0,0,1,46,2
78,2,0,4,0,5,0,0,0,25,6
79,2,0,0,4,1,0,1,1,20,5
80,2,4,4,1,1,0,0,1,38,5
81,2,2,0,2,1,0,0,1,37,6
82,2,0,2,2,1,0,0,1,38,6
83,2,0,4,2,5,0,0,1,26,5
84,2,4,4,2,1,0,1,1,16,3
85,2,0,4,2,5,0,1,1,37,5
86,2,0,0,4,1,0,0,0,23,6
87,2,0,0,4,1,0,0,1,56,6
88,1,4,0,2,1,0,0,1,53,6
89,2,0,0,4,1,0,0,1,43,5
90,2,0,4,2,5,0,0,0,53,6
91,2,4,0,2,1,0,0,1,43,6
92,4,0,4,4,5,2,0,1,16,6
93,2,4,4,4,1,0,0,1,75,5
94,2,4,0,4,1,0,0,1,42,6
95,2,3,0,4,1,0,0,0,36,6
96,1,0,4,2,5,0,1,1,38,3
97,2,4,0,4,1,1,0,0,25,1
98,2,4,0,4,1,1,0,0,53,1
99,1,4,0,4,1,0,0,1,21,3
100,1,4,0,2,1,2,0,0,33,6
101,2,0,4,4,1,0,0,1,90,4
102,1,4,4,4,1,1,0,0,65,1
103,2,4,4,0,1,0,0,0,18,6
104,2,4,4,0,1,0,0,1,23,6
105,2,4,4,0,1,1,0,0,17,6
106,2,4,4,0,1,1,0,1,17,6
107,1,4,0,4,1,1,0,0,69,1
108,4,4,0,2,1,2,0,1,19,6
109,2,4,0,4,1,2,1,1,39,2
110,2,0,4,4,1,0,0,1,20,6
111,2,0,4,4,1,1,0,0,19,6
112,1,4,4,2,5,1,0,1,68,1
113,1,2,4,2,5,1,0,1,21,6
114,1,0,0,1,1,2,0,1,23,6
115,2,4,4,2,1,0,0,1,47,6
116,1,4,0,4,1,2,0,1,30,6
117,1,0,4,4,5,2,0,1,12,6
118,2,4,0,4,1,0,0,0,23,6
119,2,4,0,4,1,1,0,0,84,1
120,2,4,4,2,5,0,0,1,21,6
121,2,0,4,2,4,0,0,0,55,6
122,2,4,4,4,5,0,0,0,37,6
123,2,4,4,4,5,0,0,0,34,6
124,1,4,0,1,1,2,0,0,61,6
